"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average_Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AUROPHARMA","EQ","08-Mar-2022","        608.95","        608.95","        630.00","        608.05","        625.00","        625.80","        620.97","    2395443","          1487505073.75","      50515","    1164571","         48.62"
"AUROPHARMA","EQ","09-Mar-2022","        625.80","        627.20","        639.35","        625.50","        634.05","        635.25","        631.77","    1946987","          1230055611.55","      41955","     837420","         43.01"
"AUROPHARMA","EQ","10-Mar-2022","        635.25","        644.00","        644.00","        625.80","        629.40","        630.40","        632.87","    1663339","          1052684757.75","      37223","     685644","         41.22"
"AUROPHARMA","EQ","11-Mar-2022","        630.40","        629.90","        645.00","        622.20","        642.20","        642.25","        639.29","    2310876","          1477319863.30","      45687","    1017283","         44.02"
"AUROPHARMA","EQ","14-Mar-2022","        642.25","        642.95","        649.70","        627.40","        631.90","        631.30","        634.36","    1074965","           681916738.75","      32420","     311324","         28.96"
"AUROPHARMA","EQ","15-Mar-2022","        631.30","        630.00","        640.85","        617.50","        619.50","        621.75","        630.46","    1724237","          1087059424.55","      44454","     789629","         45.80"
"AUROPHARMA","EQ","16-Mar-2022","        621.75","        627.00","        639.95","        619.50","        636.15","        637.50","        631.24","    1785074","          1126807823.25","      38721","     577492","         32.35"
"AUROPHARMA","EQ","17-Mar-2022","        637.50","        643.00","        655.00","        638.45","        639.65","        640.35","        643.92","    3025169","          1947977407.90","      70224","    1583451","         52.34"
"AUROPHARMA","EQ","21-Mar-2022","        640.35","        654.00","        689.00","        647.80","        679.00","        679.40","        676.05","    8041469","          5436454067.90","     145845","    1794672","         22.32"
"AUROPHARMA","EQ","22-Mar-2022","        679.40","        680.00","        694.25","        674.90","        685.70","        687.50","        684.37","    3270480","          2238218935.40","      60165","    1032756","         31.58"
"AUROPHARMA","EQ","23-Mar-2022","        687.50","        687.35","        707.00","        682.50","        693.00","        692.50","        695.30","    3137915","          2181796061.55","      65817","    1104409","         35.20"
"AUROPHARMA","EQ","24-Mar-2022","        692.50","        690.00","        724.00","        688.90","        719.05","        721.15","        713.16","    4971872","          3545759166.75","      78401","    1916906","         38.56"
"AUROPHARMA","EQ","25-Mar-2022","        721.15","        727.95","        727.95","        710.20","        719.00","        717.60","        718.69","    2510365","          1804171168.80","      43517","    1165836","         46.44"
"AUROPHARMA","EQ","28-Mar-2022","        717.60","        715.25","        726.00","        701.50","        706.25","        706.75","        714.35","    1895663","          1354164193.85","      49609","     691385","         36.47"
"AUROPHARMA","EQ","29-Mar-2022","        706.75","        714.50","        715.00","        679.00","        693.00","        692.95","        692.45","    4105866","          2843118242.50","      74713","    1536273","         37.42"
"AUROPHARMA","EQ","30-Mar-2022","        692.95","        700.45","        700.45","        671.15","        675.75","        675.60","        679.24","    4622242","          3139628072.55","      69611","    2696700","         58.34"
"AUROPHARMA","EQ","31-Mar-2022","        675.60","        680.20","        684.90","        666.15","        669.00","        668.55","        672.40","    2679110","          1801429129.55","      64200","    1352490","         50.48"
"AUROPHARMA","EQ","01-Apr-2022","        668.55","        673.85","        684.45","        663.00","        682.50","        682.35","        676.83","    1700773","          1151131638.05","      36415","     506292","         29.77"
"AUROPHARMA","EQ","04-Apr-2022","        682.35","        684.10","        695.60","        681.10","        691.50","        692.40","        689.11","    1013158","           698180609.85","      25457","     320749","         31.66"
