"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average_Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CANBK","EQ","22-Sep-2021","        154.95","        155.80","        159.10","        155.00","        156.55","        156.85","        157.33","   11331789","          1782826907.15","      48061","    3223138","         28.44"
"CANBK","EQ","23-Sep-2021","        156.85","        158.20","        163.00","        158.00","        160.60","        160.80","        160.97","   18468123","          2972777710.65","      60877","    7821240","         42.35"
"CANBK","EQ","24-Sep-2021","        160.80","        161.00","        161.70","        157.20","        157.60","        157.70","        159.03","    7568187","          1203589190.25","      36466","    3032789","         40.07"
"CANBK","EQ","27-Sep-2021","        157.70","        159.10","        161.75","        158.10","        160.40","        159.90","        160.21","   10243714","          1641192851.60","      48038","    4129580","         40.31"
"CANBK","EQ","28-Sep-2021","        159.90","        160.00","        164.90","        159.95","        164.45","        163.70","        162.20","   15400565","          2497990623.80","      53981","    6939238","         45.06"
"CANBK","EQ","29-Sep-2021","        163.70","        161.80","        172.00","        161.70","        168.40","        168.15","        168.04","   35308289","          5933191017.80","     130086","   11454694","         32.44"
"CANBK","EQ","30-Sep-2021","        168.15","        168.95","        177.50","        168.55","        172.70","        173.00","        174.36","   44191136","          7705148011.40","     182748","    9675065","         21.89"
"CANBK","EQ","01-Oct-2021","        173.00","        172.40","        178.95","        168.00","        176.80","        176.85","        175.86","   32470585","          5710235930.70","     130883","    6588439","         20.29"
"CANBK","EQ","04-Oct-2021","        176.85","        177.40","        182.95","        177.10","        182.00","        182.10","        180.94","   25046490","          4531871690.25","     101402","    6404853","         25.57"
"CANBK","EQ","05-Oct-2021","        182.10","        182.00","        183.40","        178.20","        179.25","        179.75","        180.52","   16562629","          2989809300.30","      68018","    4172424","         25.19"
"CANBK","EQ","06-Oct-2021","        179.75","        180.10","        183.40","        173.45","        173.90","        174.45","        178.36","   18996875","          3388274350.30","      74692","    4078657","         21.47"
"CANBK","EQ","07-Oct-2021","        174.45","        176.55","        177.50","        173.60","        175.05","        174.85","        175.40","   11754552","          2061794965.00","      48273","    3829108","         32.58"
"CANBK","EQ","08-Oct-2021","        174.85","        177.00","        178.95","        171.70","        178.40","        177.25","        175.23","   18248941","          3197845029.35","      75669","    7361871","         40.34"
"CANBK","EQ","11-Oct-2021","        177.25","        179.00","        180.95","        175.55","        176.35","        176.65","        178.29","   16526973","          2946644725.95","      66559","    5505465","         33.31"
"CANBK","EQ","12-Oct-2021","        176.65","        177.00","        188.00","        176.00","        187.00","        187.05","        183.55","   42118897","          7730914780.60","     138274","   16891199","         40.10"
"CANBK","EQ","13-Oct-2021","        187.05","        189.00","        189.65","        184.65","        185.90","        186.60","        187.26","   31426577","          5884829102.80","     100520","   12511829","         39.81"
"CANBK","EQ","14-Oct-2021","        186.60","        187.90","        195.00","        186.90","        192.80","        193.55","        192.13","   27769060","          5335389535.10","     115609","    7571917","         27.27"
"CANBK","EQ","18-Oct-2021","        193.55","        195.80","        204.25","        193.60","        197.85","        198.95","        197.98","   36940320","          7313548604.05","     157942","   10228005","         27.69"
"CANBK","EQ","19-Oct-2021","        198.95","        200.90","        201.50","        189.10","        191.05","        190.70","        195.25","   23114976","          4513110868.15","     129576","    7407157","         32.04"
"CANBK","EQ","20-Oct-2021","        190.70","        190.20","        197.35","        186.65","        196.50","        195.30","        194.07","   21818788","          4234285814.00","     101006","    4304279","         19.73"
"CANBK","EQ","21-Oct-2021","        195.30","        197.10","        201.00","        192.25","        200.80","        199.60","        198.08","   28400298","          5625527987.30","     117631","    5482872","         19.31"
"CANBK","EQ","22-Oct-2021","        199.60","        201.00","        203.35","        196.10","        198.15","        198.60","        199.85","   23249476","          4646401672.30","     101638","    4694375","         20.19"
"CANBK","EQ","25-Oct-2021","        198.60","        199.60","        206.75","        198.85","        201.50","        201.95","        203.61","   30065875","          6121708239.15","     144634","    6511553","         21.66"
"CANBK","EQ","26-Oct-2021","        201.95","        203.00","        207.50","        191.25","        194.50","        193.35","        198.11","   60155155","         11917153243.25","     293247","   10395418","         17.28"
"CANBK","EQ","27-Oct-2021","        193.35","        198.85","        203.80","        197.25","        200.10","        200.80","        200.85","   41964959","          8428676164.05","     180962","   15904227","         37.90"
"CANBK","EQ","28-Oct-2021","        200.80","        200.95","        202.80","        194.50","        195.25","        195.40","        198.65","   28219533","          5605699181.50","     112518","   13462365","         47.71"
"CANBK","EQ","29-Oct-2021","        195.40","        194.65","        218.65","        191.10","        214.10","        214.50","        210.07","   72268109","         15181194629.65","     302603","   14923075","         20.65"
"CANBK","EQ","01-Nov-2021","        214.50","        215.00","        215.95","        208.85","        214.80","        214.65","        212.57","   17718714","          3766379273.35","      90060","    2914862","         16.45"
"CANBK","EQ","02-Nov-2021","        214.65","        216.00","        226.45","        214.00","        223.80","        224.25","        221.50","   38958818","          8629336224.15","     160525","    8851977","         22.72"
"CANBK","EQ","03-Nov-2021","        224.25","        224.75","        229.65","        222.00","        226.05","        225.95","        226.07","   31063219","          7022526395.10","     122262","    8851981","         28.50"
"CANBK","EQ","04-Nov-2021","        225.95","        227.65","        231.00","        227.00","        229.00","        228.80","        229.09","    4384463","          1004441920.00","      39703","    1399213","         31.91"
"CANBK","EQ","08-Nov-2021","        228.80","        229.95","        246.00","        228.75","        246.00","        244.25","        238.08","   48428300","         11530007093.55","     221715","   13202924","         27.26"
"CANBK","EQ","09-Nov-2021","        244.25","        245.00","        247.60","        241.00","        243.50","        242.80","        244.40","   23106634","          5647346210.00","     111932","    4208155","         18.21"
"CANBK","EQ","10-Nov-2021","        242.80","        242.00","        244.15","        234.00","        236.70","        235.95","        239.71","   17896872","          4290121783.00","      91606","    2787804","         15.58"
"CANBK","EQ","11-Nov-2021","        235.95","        236.20","        238.35","        229.35","        232.15","        231.60","        233.22","   13854474","          3231088042.75","      73623","    2879646","         20.78"
"CANBK","EQ","12-Nov-2021","        231.60","        233.00","        233.95","        226.55","        230.75","        230.80","        229.94","   15085718","          3468842707.80","      70732","    3674895","         24.36"
"CANBK","EQ","15-Nov-2021","        230.80","        232.45","        232.85","        226.70","        227.70","        227.60","        228.97","    7720720","          1767834460.00","      46124","    1195165","         15.48"
"CANBK","EQ","16-Nov-2021","        227.60","        228.05","        229.35","        221.00","        221.25","        222.05","        225.03","   10953363","          2464888298.55","      58790","    3291307","         30.05"
"CANBK","EQ","17-Nov-2021","        222.05","        221.00","        226.50","        219.50","        219.80","        220.05","        222.78","   15383307","          3427139136.50","      88306","    4021535","         26.14"
"CANBK","EQ","18-Nov-2021","        220.05","        220.90","        222.95","        215.85","        219.50","        219.55","        219.40","   12745860","          2796391343.50","      69108","    2571558","         20.18"
"CANBK","EQ","22-Nov-2021","        219.55","        220.00","        220.65","        206.40","        212.30","        211.80","        212.87","   13747409","          2926423698.65","      77154","    3449950","         25.10"
"CANBK","EQ","23-Nov-2021","        211.80","        210.00","        217.75","        209.00","        216.10","        216.10","        215.07","   11153911","          2398829870.10","      59437","    1860813","         16.68"
"CANBK","EQ","24-Nov-2021","        216.10","        217.15","        219.00","        212.95","        213.05","        213.50","        216.46","    9055584","          1960154344.35","      48739","    1792634","         19.80"
"CANBK","EQ","25-Nov-2021","        213.50","        214.15","        216.00","        212.05","        216.00","        215.05","        214.18","    6545665","          1401958307.70","      37451","     904574","         13.82"
"CANBK","EQ","26-Nov-2021","        215.05","        212.90","        213.90","        201.60","        202.40","        202.65","        206.04","   13422935","          2765683245.90","      86518","    2731881","         20.35"
"CANBK","EQ","29-Nov-2021","        202.65","        200.00","        204.85","        194.75","        199.40","        199.25","        201.52","   13510860","          2722676456.65","      82724","    2088058","         15.45"
"CANBK","EQ","30-Nov-2021","        199.25","        199.25","        206.50","        197.50","        198.45","        199.15","        201.66","   13602139","          2742996920.45","      67197","    2676156","         19.67"
"CANBK","EQ","01-Dec-2021","        199.15","        201.00","        207.50","        198.70","        207.15","        206.70","        203.38","   12217342","          2484736084.35","      77006","    2378069","         19.46"
"CANBK","EQ","02-Dec-2021","        206.70","        207.15","        208.35","        203.55","        207.40","        207.15","        205.53","    7804475","          1604073511.80","      45962","    1535947","         19.68"
"CANBK","EQ","03-Dec-2021","        207.15","        207.40","        210.50","        205.35","        206.45","        206.50","        208.11","    9921814","          2064844440.30","      49687","    1743462","         17.57"
"CANBK","EQ","06-Dec-2021","        206.50","        206.85","        209.55","        201.95","        202.95","        202.55","        205.70","   10904532","          2243105636.35","      51856","    2968031","         27.22"
"CANBK","EQ","07-Dec-2021","        202.55","        204.80","        210.70","        204.30","        209.15","        209.15","        208.03","    8950677","          1861967510.75","      46023","    1442351","         16.11"
"CANBK","EQ","08-Dec-2021","        209.15","        210.80","        215.20","        208.45","        214.15","        214.70","        212.09","   13075468","          2773196131.40","      61188","    2769198","         21.18"
"CANBK","EQ","09-Dec-2021","        214.70","        215.10","        217.00","        211.80","        215.15","        215.00","        214.47","    8750534","          1876706663.35","      44267","    1538208","         17.58"
