"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average_Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NIFTYBEES","EQ","04-Jan-2022","        190.72","        198.91","        198.91","        189.20","        192.50","        192.46","        191.58","    1985741","           380438079.16","      32097","     940240","         47.35"
"NIFTYBEES","EQ","05-Jan-2022","        192.46","        195.00","        195.00","        191.30","        193.30","        193.34","        192.86","    1532485","           295558004.42","      28242","     945104","         61.67"
"NIFTYBEES","EQ","06-Jan-2022","        193.34","        193.00","        193.00","        190.75","        191.98","        191.92","        191.46","    2295715","           439533396.78","      30162","    1346479","         58.65"
"NIFTYBEES","EQ","07-Jan-2022","        191.92","        194.00","        194.00","        191.40","        192.60","        192.42","        192.51","    1164892","           224253176.58","      23244","     502685","         43.15"
"NIFTYBEES","EQ","10-Jan-2022","        192.42","        193.70","        194.50","        192.45","        194.46","        194.35","        193.94","    2125975","           412306558.74","      36204","    1178884","         55.45"
"NIFTYBEES","EQ","11-Jan-2022","        194.35","        196.00","        196.00","        193.25","        194.70","        194.69","        194.52","    1055181","           205256961.08","      19740","     485161","         45.98"
"NIFTYBEES","EQ","12-Jan-2022","        194.69","        197.50","        197.50","        195.05","        196.15","        196.20","        195.94","    1506313","           295149690.24","      21327","    1097504","         72.86"
"NIFTYBEES","EQ","13-Jan-2022","        196.20","        198.80","        198.80","        195.80","        197.16","        197.00","        196.67","    1965999","           386658330.27","      18498","    1106427","         56.28"
"NIFTYBEES","EQ","14-Jan-2022","        197.00","        199.85","        199.85","        195.50","        197.02","        197.36","        196.65","    1926983","           378931914.51","      20184","    1269412","         65.88"
"NIFTYBEES","EQ","17-Jan-2022","        197.36","        223.00","        223.00","        195.70","        198.18","        198.03","        197.65","    1655939","           327298863.37","      30013","    1094655","         66.10"
"NIFTYBEES","EQ","18-Jan-2022","        198.03","        199.00","        199.00","        195.60","        196.20","        195.97","        197.08","    1936923","           381725678.68","      30979","    1078968","         55.71"
"NIFTYBEES","EQ","19-Jan-2022","        195.97","        221.40","        221.40","        193.00","        194.39","        194.18","        194.24","    1947061","           378193391.33","      27425","    1099557","         56.47"
"NIFTYBEES","EQ","20-Jan-2022","        194.18","        195.80","        195.80","        191.10","        192.44","        192.18","        192.25","    3125434","           600879875.65","      39900","    2346880","         75.09"
"NIFTYBEES","EQ","21-Jan-2022","        192.18","        191.99","        191.99","        189.22","        191.13","        190.64","        190.51","    3135380","           597334039.62","      35386","    2033980","         64.87"
"NIFTYBEES","EQ","24-Jan-2022","        190.64","        196.80","        196.80","        184.05","        185.55","        185.79","        186.59","    9706128","          1811069448.56","      89363","    3027281","         55.87"
"NIFTYBEES","EQ","25-Jan-2022","        185.79","        185.49","        187.38","        183.05","        187.25","        187.07","        185.04","    5883754","          1088755552.57","      46580","    3336218","         56.70"
"NIFTYBEES","EQ","27-Jan-2022","        187.07","        194.00","        194.00","        182.70","        185.78","        185.33","        184.06","    5945584","          1094331199.86","      51850","    3875814","         65.19"
"NIFTYBEES","EQ","28-Jan-2022","        185.33","        187.75","        188.06","        184.80","        185.30","        185.10","        186.70","    2774965","           518075666.08","      28874","    1402423","         50.54"
"NIFTYBEES","EQ","31-Jan-2022","        185.10","        199.88","        199.88","        185.25","        187.75","        187.63","        187.58","    2238333","           419871780.40","      29907","    1108052","         49.50"
"NIFTYBEES","EQ","01-Feb-2022","        187.63","        190.80","        190.80","        178.11","        189.99","        189.70","        189.29","    4046199","           765897187.66","      36635","    1916351","         47.36"
"NIFTYBEES","EQ","02-Feb-2022","        189.70","        194.00","        194.00","        189.70","        192.24","        192.12","        191.57","    2272990","           435443997.13","      25976","    1307186","         57.51"
"NIFTYBEES","EQ","03-Feb-2022","        192.12","        195.00","        195.00","        189.60","        189.71","        190.01","        190.88","    2498448","           476904239.76","      24687","    1431916","         57.31"
"NIFTYBEES","EQ","04-Feb-2022","        190.01","        193.00","        193.00","        189.01","        189.45","        189.59","        189.72","    3276311","           621574318.49","      27626","    2022099","         61.72"
"NIFTYBEES","EQ","07-Feb-2022","        189.59","        193.00","        193.00","        185.39","        186.40","        186.34","        187.14","    3745509","           700916450.74","      57807","    2407742","         64.28"
"NIFTYBEES","EQ","08-Feb-2022","        186.34","        190.00","        190.00","        184.50","        186.70","        186.81","        185.94","    2401848","           446590062.14","      33878","    1455340","         60.59"
"NIFTYBEES","EQ","09-Feb-2022","        186.81","        199.85","        199.85","        187.10","        189.19","        189.03","        188.48","    1253049","           236172074.16","      16794","     737589","         58.86"
"NIFTYBEES","EQ","10-Feb-2022","        189.03","        191.50","        191.50","        188.50","        189.88","        190.11","        189.67","    3300794","           626063160.98","      21036","    2467155","         74.74"
"NIFTYBEES","EQ","11-Feb-2022","        190.11","        192.50","        192.50","        187.00","        187.75","        188.00","        187.71","    2152018","           403947388.94","      25932","    1458818","         67.79"
"NIFTYBEES","EQ","14-Feb-2022","        188.00","        187.50","        187.50","        182.30","        182.47","        182.59","        183.78","    7366629","          1353848176.61","      88781","    6014965","         81.65"
"NIFTYBEES","EQ","15-Feb-2022","        182.59","        185.00","        187.88","        182.59","        187.64","        187.59","        185.05","    2687788","           497368714.02","      35396","    1356551","         50.47"
"NIFTYBEES","EQ","16-Feb-2022","        187.59","        190.00","        190.00","        186.45","        187.10","        187.14","        187.78","    2043037","           383647420.68","      22799","     924714","         45.26"
